14709,10,51,94,"haskell",15,"commercialhaskell/stack",9,642,821
6186,13,20,36,"haskell",9,"elm-lang/elm-compiler",19,304,401
131,0,0,0,"haskell",0,"facebook/Haxl",0,1,1
1878,1,7,7,"haskell",1,"ghcjs/ghcjs",0,82,98
2564,0,1,7,"haskell",0,"gibiansky/IHaskell",0,17,25
9001,0,4,11,"haskell",14,"idris-lang/Idris-dev",0,83,112
1358,1,6,3,"haskell",1,"jaspervdj/hakyll",2,23,36
15234,5,82,130,"haskell",42,"purescript/purescript",7,871,1137
139,0,0,0,"haskell",0,"sdiehl/write-you-a-haskell",0,2,2
5465,0,2,8,"haskell",1,"yesodweb/yesod",0,32,43
