2179,6,88,33,"rust",5,"BurntSushi/ripgrep",12,228,372
2381,0,3,5,"rust",2,"PistonDevelopers/piston",0,27,37
1065,0,43,72,"rust",14,"SergioBenitez/Rocket",3,380,512
1928,0,1,2,"rust",0,"carllerche/mio",0,44,47
3774,2,12,38,"rust",2,"hyperium/hyper",1,160,215
1371,0,2,14,"rust",1,"iron/iron",0,32,49
1808,0,4,2,"rust",1,"phildawes/racer",0,18,25
20133,10,58,43,"rust",27,"rust-lang/cargo",20,547,705
2447,0,0,2,"rust",2,"rust-lang/rust-by-example",0,39,43
1912,2,6,10,"rust",4,"uutils/coreutils",84,231,337
