referrer,refers_to,count
c,ruby,746
c,r,340
c,python,219
c,d,172
c,lua,82
c,bash,39
c,sh,28
c,javascript,20
c,perl,11
c,java,8
c,scheme,8
c,c#,6
c,rust,5
c,zsh,5
c,haskell,3
c,coffeescript,2
c,fish,2
c,swift,2
c,clojure,1
c,erlang,1
c,julia,1
c,mathematica,1
c,scala,1
c,typescript,1
c#,c,1158
c#,r,331
c#,d,219
c#,javascript,30
c#,lua,21
c#,typescript,12
c#,f#,11
c#,bash,10
c#,python,6
c#,sh,6
c#,ruby,5
c#,scheme,5
c#,haskell,2
c#,fish,1
c#,java,1
c#,perl,1
go,c,1458
go,d,375
go,bash,159
go,r,67
go,sh,51
go,python,36
go,zsh,29
go,javascript,24
go,scheme,8
go,java,7
go,rust,6
go,fish,5
go,haskell,2
go,perl,2
go,lua,1
go,matlab,1
go,ruby,1
go,scala,1
haskell,elm,619
haskell,c,544
haskell,idris,464
haskell,javascript,289
haskell,r,287
haskell,d,225
haskell,purescript,221
haskell,bash,81
haskell,python,51
haskell,sh,45
haskell,scheme,12
haskell,ruby,9
haskell,java,7
haskell,f#,6
haskell,scala,6
haskell,julia,4
haskell,ocaml,4
haskell,perl,4
haskell,coq,3
haskell,erlang,3
haskell,typescript,3
haskell,zsh,3
haskell,clojure,2
haskell,c#,1
haskell,elixir,1
haskell,lua,1
haskell,prolog,1
haskell,rust,1
java,d,209
java,c,61
java,scala,49
java,r,27
java,javascript,15
java,bash,13
java,python,13
java,sh,7
java,scheme,6
java,typescript,3
javascript,ruby,278
javascript,d,124
javascript,c,115
javascript,r,75
javascript,nim,35
javascript,coffeescript,21
javascript,bash,18
javascript,java,17
javascript,sh,15
javascript,python,12
javascript,typescript,12
javascript,scheme,5
javascript,c#,3
javascript,scala,2
javascript,perl,1
javascript,prolog,1
python,c,499
python,sh,361
python,r,188
python,d,165
python,bash,83
python,ruby,12
python,scheme,11
python,javascript,10
python,zsh,10
python,lua,9
python,java,3
python,scala,3
python,c#,2
python,haskell,2
python,matlab,2
python,perl,2
python,prolog,1
ruby,c,588
ruby,javascript,558
ruby,r,200
ruby,bash,54
ruby,d,54
ruby,sh,48
ruby,scheme,18
ruby,python,12
ruby,swift,12
ruby,java,11
ruby,coffeescript,10
ruby,zsh,7
ruby,perl,2
ruby,erlang,1
ruby,julia,1
rust,c,562
rust,r,298
rust,d,164
rust,bash,62
rust,scheme,37
rust,sh,32
rust,python,30
rust,javascript,29
rust,zsh,21
rust,typescript,10
rust,java,7
rust,perl,6
rust,ruby,5
rust,clojure,4
rust,coffeescript,4
rust,fish,4
rust,scala,4
rust,c#,3
rust,haskell,3
rust,elm,2
rust,elixir,1
rust,erlang,1
rust,lisp,1
rust,nim,1
rust,prolog,1
rust,swift,1
swift,c,231
swift,scheme,45
swift,r,38
swift,d,36
swift,ruby,20
swift,python,10
swift,javascript,7
swift,bash,6
swift,sh,5
swift,haskell,2
swift,lua,1
swift,typescript,1
swift,zsh,1
