language,avg(thumbsup),avg(thumbsdown),avg(laugh),avg(hooray),avg(confused),avg(heart),avg(total_count),"Emoji per 100 Comments"
c,49.8,2.4,1.6,5.9,0.5,6.6,66.8,8.01717431190213
c-sharp,220.1,22.1,11.5,16.3,6.0,16.2,292.2,4.43499406362378
go,215.8,17.2,5.7,19.8,5.6,12.6,276.7,4.40223764139124
haskell,205.7,3.7,8.3,29.6,3.0,17.3,267.6,3.26052173878903
java,85.3,1.9,4.2,8.0,1.7,3.4,104.5,6.05039968492415
javascript,104.0,4.9,3.6,9.4,3.2,8.4,133.5,6.03160365712235
python,92.2,1.4,3.1,7.4,1.9,4.2,110.2,4.77381481394078
ruby,42.3,0.3,1.4,4.9,0.7,3.4,53.0,3.71225307283121
rust,170.6,12.0,5.8,22.1,2.0,21.7,234.2,10.2677037683475
swift,39.0,0.4,1.0,2.2,1.1,3.4,47.1,7.63969153540778
